company_name,domain,processing_version,weighted_psi_score,averaged_psi_score,qualification_tier,purchase_probability,weighted_primary_edp,averaged_primary_edp,primary_edp_match,has_product_search,has_mobile_optimization,has_ssl,page_speed_score,sku_count_estimate,channel_count,rep_count_estimate,target_audience,geographic_presence,trade_shows_mentioned,product_types,campaign_type,email_count,linkedin_count,ad_suggestions_count,missing_features,evidence_hooks
Carpenter Emergency Lighting,carpenterlighting.com,v2_validated,44.65,47.0,TIER_B_ACTIVE,0.46882500000000005,EDP8_Technology_Obsolescence,EDP2_Rep_Management,False,True,True,True,Poor,2000,0,10,Mixed,Unknown,,"lighting, decor",crisis_intervention,3,2,2,"Comparison tool, Quote builder, Project boards, Rep portal",Your 10 reps have no portal
James R Moder,jamesrmoder.com,v2_validated,73.7,62.0,TIER_A_IMMEDIATE,0.8107000000000001,EDP7_Sales_Enablement,EDP2_Rep_Management,False,False,False,True,Poor,500,1,10,Trade only,Unknown,,"lighting, decor",crisis_intervention,3,2,2,"Product search, Comparison tool, Quote builder, Mobile site, Rep portal","No mobile site for High Point Market?, James R Moder: Manual catalog navigation killing productivity, Your 10 reps have no portal"
James R Moder,jamesrmoder.com,v2_validated,73.7,62.0,TIER_A_IMMEDIATE,0.8107000000000001,EDP7_Sales_Enablement,EDP2_Rep_Management,False,False,False,True,Poor,500,1,10,Trade only,Unknown,,"lighting, decor",crisis_intervention,3,2,2,"Product search, Comparison tool, Quote builder, Mobile site, Rep portal","No mobile site for High Point Market?, James R Moder: Manual catalog navigation killing productivity, Your 10 reps have no portal"
James R Moder,jamesrmoder.com,v2_validated,73.7,62.0,TIER_A_IMMEDIATE,0.8107000000000001,EDP7_Sales_Enablement,EDP2_Rep_Management,False,False,False,True,Poor,500,1,10,Trade only,Unknown,,"lighting, decor",crisis_intervention,3,2,2,"Product search, Comparison tool, Quote builder, Mobile site, Rep portal","No mobile site for High Point Market?, James R Moder: Manual catalog navigation killing productivity, Your 10 reps have no portal"
Samsung,samsung.com,v2_validated,40.25,39.0,TIER_B_ACTIVE,0.42262500000000003,EDP8_Technology_Obsolescence,EDP2_Rep_Management,False,True,True,True,Poor,4,1,10,B2C retail,Worldwide,,decor,crisis_intervention,3,2,2,Rep portal,Your 10 reps have no portal
Global,glthome.com,v2_validated,47.75,53.0,TIER_B_ACTIVE,0.501375,EDP8_Technology_Obsolescence,EDP2_Rep_Management,False,True,True,True,Poor,5000,0,10,B2C retail,Worldwide,,"lighting, decor",crisis_intervention,3,2,2,"Quote builder, Rep portal","SSL EXPIRED - customers questioning credibility, Global 40% slower than digital competitors, Your 10 reps have no portal"
Gemstone Lights,gemstonelights.com,v2_validated,56.5,58.0,TIER_B_ACTIVE,0.6214999999999999,EDP7_Sales_Enablement,EDP1_SKU_Complexity,False,False,True,True,Poor,5000,2,100,B2B wholesale,USA,,"lighting, outdoor, decor",crisis_intervention,3,2,2,"Product search, Comparison tool, Project boards","No mobile site for High Point Market?, Gemstone Lights: Manual catalog navigation killing productivity, 2,000 SKUs but no search function"
Séura Mirrors,seura.com,v2_validated,49.45,55.0,TIER_B_ACTIVE,0.519225,EDP8_Technology_Obsolescence,EDP2_Rep_Management,False,True,True,True,Poor,5000,4,10,B2B wholesale,Regional,,"lighting, outdoor, decor",crisis_intervention,3,2,2,"Comparison tool, Rep portal",Your 10 reps have no portal
GE Consumer & Industrial Lighting,gelighting.com,v2_validated,47.45,47.0,TIER_B_ACTIVE,0.49822500000000003,EDP8_Technology_Obsolescence,EDP2_Rep_Management,False,True,True,True,Poor,5000,0,10,Mixed,USA,,"lighting, outdoor, decor",crisis_intervention,3,2,2,"Comparison tool, Quote builder, Project boards, Rep portal",Your 10 reps have no portal
Gemstone Lights,gemstonelights.com,v2_validated,56.5,58.0,TIER_B_ACTIVE,0.6214999999999999,EDP7_Sales_Enablement,EDP1_SKU_Complexity,False,False,True,True,Poor,5000,2,100,B2B wholesale,USA,,"lighting, outdoor, decor",crisis_intervention,3,2,2,"Product search, Comparison tool, Project boards","No mobile site for High Point Market?, Gemstone Lights: Manual catalog navigation killing productivity, 2,000 SKUs but no search function"
Séura Mirrors,seura.com,v2_validated,49.45,55.0,TIER_B_ACTIVE,0.519225,EDP8_Technology_Obsolescence,EDP2_Rep_Management,False,True,True,True,Poor,5000,4,10,B2B wholesale,Regional,,"lighting, outdoor, decor",crisis_intervention,3,2,2,"Comparison tool, Rep portal",Your 10 reps have no portal
Legacy Home/Legacy Linens,legacylighting.com,v2_validated,75.7,70.0,TIER_A_IMMEDIATE,0.8327000000000001,EDP7_Sales_Enablement,EDP2_Rep_Management,False,False,False,True,Poor,500,0,10,Mixed,Unknown,,,crisis_intervention,3,2,2,"Product search, Comparison tool, Quote builder, Project boards, Mobile site, Rep portal","No mobile site for High Point Market?, Legacy Home/Legacy Linens: Manual catalog navigation killing productivity, Your 10 reps have no portal"
LYCIAN,lycian.com,v2_validated,71.7,68.0,TIER_A_IMMEDIATE,0.7528500000000001,EDP8_Technology_Obsolescence,EDP2_Rep_Management,False,False,True,True,Poor,500,0,10,Mixed,Unknown,,,crisis_intervention,3,2,2,"Product search, Comparison tool, Quote builder, Project boards, Rep portal","No mobile site for High Point Market?, LYCIAN: Manual catalog navigation killing productivity, SSL EXPIRED - customers questioning credibility"
